timestamp,it_electrical_load_kw,cooling_thermal_load_kw,waste_heat_available_kw
2023-01-01 00:00:00+00:00,27.1,26.828999999999997,17.43885
2023-01-01 00:30:00+00:00,27.9,27.621,17.953650000000003
2023-01-01 01:00:00+00:00,27.199999999999932,26.927999999999933,17.503199999999957
2023-01-01 01:30:00+00:00,26.333333333333332,26.07,16.9455
2023-01-01 02:00:00+00:00,27.133333333333336,26.862,17.4603
2023-01-01 02:30:00+00:00,26.75,26.4825,17.213625
2023-01-01 03:00:00+00:00,27.066666666666663,26.795999999999996,17.417399999999997
2023-01-01 03:30:00+00:00,27.066666666666663,26.795999999999996,17.417399999999997
2023-01-01 04:00:00+00:00,27.033333333333264,26.76299999999993,17.395949999999957
2023-01-01 04:30:00+00:00,26.816666666666663,26.548499999999997,17.256525
2023-01-01 05:00:00+00:00,26.416666666666668,26.1525,16.999125
2023-01-01 05:30:00+00:00,27.3666666666666,27.092999999999932,17.610449999999958
2023-01-01 06:00:00+00:00,27.766666666666666,27.488999999999997,17.867849999999997
2023-01-01 06:30:00+00:00,26.8,26.532,17.2458
2023-01-01 07:00:00+00:00,26.416666666666668,26.1525,16.999125
2023-01-01 07:30:00+00:00,26.949999999999932,26.68049999999993,17.342324999999956
2023-01-01 08:00:00+00:00,28.35,28.0665,18.243225
2023-01-01 08:30:00+00:00,27.566666666666663,27.290999999999997,17.73915
2023-01-01 09:00:00+00:00,26.033333333333264,25.772999999999932,16.752449999999957
2023-01-01 09:30:00+00:00,26.0,25.74,16.730999999999998
2023-01-01 10:00:00+00:00,27.516666666666666,27.2415,17.706975
2023-01-01 10:30:00+00:00,27.6,27.324,17.7606
2023-01-01 11:00:00+00:00,26.183333333333337,25.9215,16.848975000000003
2023-01-01 11:30:00+00:00,26.083333333333332,25.8225,16.784625
2023-01-01 12:00:00+00:00,27.149999999999995,26.878499999999995,17.471024999999997
2023-01-01 12:30:00+00:00,27.433333333333337,27.159,17.65335
2023-01-01 13:00:00+00:00,27.183333333333337,26.9115,17.492475000000002
2023-01-01 13:30:00+00:00,26.666666666666668,26.4,17.160000000000004
2023-01-01 14:00:00+00:00,27.283333333333264,27.01049999999993,17.556824999999954
2023-01-01 14:30:00+00:00,26.71666666666667,26.4495,17.192175000000002
2023-01-01 15:00:00+00:00,27.5,27.225,17.696250000000003
2023-01-01 15:30:00+00:00,27.666666666666668,27.39,17.8035
2023-01-01 16:00:00+00:00,27.416666666666668,27.1425,17.642625000000002
2023-01-01 16:30:00+00:00,27.149999999999995,26.878499999999995,17.471024999999997
2023-01-01 17:00:00+00:00,26.5,26.235,17.05275
2023-01-01 17:30:00+00:00,27.883333333333336,27.6045,17.942925000000002
2023-01-01 18:00:00+00:00,28.78333333333333,28.495499999999996,18.522074999999997
2023-01-01 18:30:00+00:00,27.333333333333332,27.06,17.589
2023-01-01 19:00:00+00:00,26.6,26.333999999999996,17.117099999999997
2023-01-01 19:30:00+00:00,26.949999999999932,26.68049999999993,17.342324999999956
2023-01-01 20:00:00+00:00,28.733333333333334,28.446,18.4899
2023-01-01 20:30:00+00:00,28.383333333333336,28.099500000000003,18.264675000000004
2023-01-01 21:00:00+00:00,26.916666666666668,26.6475,17.320875
2023-01-01 21:30:00+00:00,27.183333333333337,26.9115,17.492475000000002
2023-01-01 22:00:00+00:00,28.1,27.819,18.08235
2023-01-01 22:30:00+00:00,28.2,27.918,18.1467
2023-01-01 23:00:00+00:00,27.21666666666667,26.9445,17.513925
2023-01-01 23:30:00+00:00,26.683333333333337,26.4165,17.170725
2023-01-02 00:00:00+00:00,27.683333333333337,27.4065,17.814225
2023-01-02 00:30:00+00:00,27.933333333333337,27.654,17.9751
2023-01-02 01:00:00+00:00,27.71666666666667,27.4395,17.835675000000002
2023-01-02 01:30:00+00:00,27.333333333333332,27.06,17.589
2023-01-02 02:00:00+00:00,27.766666666666666,27.488999999999997,17.867849999999997
2023-01-02 02:30:00+00:00,27.416666666666668,27.1425,17.642625000000002
2023-01-02 03:00:00+00:00,27.566666666666663,27.290999999999997,17.73915
2023-01-02 03:30:00+00:00,27.983333333333334,27.7035,18.007275000000003
2023-01-02 04:00:00+00:00,28.016666666666666,27.7365,18.028725
2023-01-02 04:30:00+00:00,27.55,27.2745,17.728425
2023-01-02 05:00:00+00:00,26.8666666666666,26.597999999999935,17.28869999999996
2023-01-02 05:30:00+00:00,28.0,27.72,18.018
2023-01-02 06:00:00+00:00,28.8,28.512,18.5328
2023-01-02 06:30:00+00:00,27.766666666666666,27.488999999999997,17.867849999999997
2023-01-02 07:00:00+00:00,27.033333333333264,26.76299999999993,17.395949999999957
2023-01-02 07:30:00+00:00,27.516666666666666,27.2415,17.706975
2023-01-02 08:00:00+00:00,29.35,29.056499999999996,18.886725
2023-01-02 08:30:00+00:00,28.78333333333333,28.495499999999996,18.522074999999997
2023-01-02 09:00:00+00:00,27.0,26.73,17.3745
2023-01-02 09:30:00+00:00,27.0,26.73,17.3745
2023-01-02 10:00:00+00:00,28.266666666666666,27.984,18.1896
2023-01-02 10:30:00+00:00,28.75,28.4625,18.500625
2023-01-02 11:00:00+00:00,27.533333333333264,27.25799999999993,17.717699999999954
2023-01-02 11:30:00+00:00,27.149999999999995,26.878499999999995,17.471024999999997
2023-01-02 12:00:00+00:00,27.983333333333334,27.7035,18.007275000000003
2023-01-02 12:30:00+00:00,28.6,28.313999999999997,18.4041
2023-01-02 13:00:00+00:00,28.016666666666666,27.7365,18.028725
2023-01-02 13:30:00+00:00,27.35,27.0765,17.599725
2023-01-02 14:00:00+00:00,28.0,27.72,18.018
2023-01-02 14:30:00+00:00,28.016666666666666,27.7365,18.028725
2023-01-02 15:00:00+00:00,27.833333333333332,27.555,17.91075
2023-01-02 15:30:00+00:00,27.55,27.2745,17.728425
2023-01-02 16:00:00+00:00,27.416666666666668,27.1425,17.642625000000002
2023-01-02 16:30:00+00:00,27.566666666666663,27.290999999999997,17.73915
2023-01-02 17:00:00+00:00,27.066666666666663,26.795999999999996,17.417399999999997
2023-01-02 17:30:00+00:00,27.95,27.6705,17.985825000000002
2023-01-02 18:00:00+00:00,28.633333333333336,28.347,18.42555
2023-01-02 18:30:00+00:00,28.0,27.72,18.018
2023-01-02 19:00:00+00:00,27.1,26.828999999999997,17.43885
2023-01-02 19:30:00+00:00,27.449999999999932,27.175499999999932,17.664074999999958
2023-01-02 20:00:00+00:00,28.45,28.1655,18.307575
2023-01-02 20:30:00+00:00,28.4,28.116000000000003,18.2754
2023-01-02 21:00:00+00:00,27.133333333333336,26.862,17.4603
2023-01-02 21:30:00+00:00,26.8666666666666,26.597999999999935,17.28869999999996
2023-01-02 22:00:00+00:00,28.633333333333336,28.347,18.42555
2023-01-02 22:30:00+00:00,28.78333333333333,28.495499999999996,18.522074999999997
2023-01-02 23:00:00+00:00,27.266666666666666,26.994,17.5461
2023-01-02 23:30:00+00:00,26.766666666666666,26.499,17.22435
2023-01-03 00:00:00+00:00,27.516666666666666,27.2415,17.706975
